modelo,marca,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,peso,gama_marca,segmento_comercial,pais_origen,precio_min,precio_max,categoria_material,gama_material,peso_relativo,aspect_ratio,area_aprox,densidad,ancho_total,montura_completa,es_unisex,color_basico,material_eco,precio_medio_marca,precio,log_precio
0RX5698 8109 56,Ray-Ban,Unisex,Acetato,Aviador,Montura completa,marron,M,56.0,14.0,145.0,190.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,acetato,media,ligero,0.38620689655172413,784.0,0.2423469387755102,126.0,1,1,1,0,170.0,112.9,4.735320870453137
SL 574 001 52,Saint Laurent,Unisex,Pasta,Rectangulares,Montura completa,negro,M,52.0,21.0,145.0,155.0,lujo,moda_lujo,Francia,210.0,420.0,acetato,media,ligero,0.3586206896551724,1092.0,0.14194139194139194,125.0,1,1,1,0,315.0,249.9,5.525054453372377
SL M138 001 55,Saint Laurent,Mujer,Pasta,Cat Eye,Montura completa,negro,M,55.0,18.0,145.0,160.0,lujo,moda_lujo,Francia,210.0,420.0,acetato,media,ligero,0.3793103448275862,990.0,0.16161616161616163,128.0,1,0,1,0,315.0,249.9,5.525054453372377
0OV5183 1003 45,Oliver Peoples,Hombre,Acetato,Redondas,Montura completa,marron,S,45.0,22.0,145.0,230.0,premium,moda_premium,Estados Unidos,180.0,320.0,acetato,media,ligero,0.3103448275862069,990.0,0.23232323232323232,112.0,1,0,1,0,250.0,299.9,5.706777983635999
TH 2268/C 807 19 51,Tommy Hilfiger,Unisex,Acetato,Cuadradas,Montura completa,negro,M,51.0,19.0,150.0,170.0,gama_media,moda_casual,Estados Unidos,80.0,170.0,acetato,media,ligero,0.34,969.0,0.17543859649122806,121.0,1,1,1,0,125.0,149.9,5.016617365773803
PLD 2132/CS 003 M9 49 (sluneční klip),Polaroid,Unisex,Eco-friendly,Redondas,Montura completa,negro,S,49.0,19.0,140.0,105.0,gama_media,marca_blanca_OEM,Estados Unidos,50.0,120.0,otro,gama_media,medio,0.35,931.0,0.11278195488721804,117.0,1,1,1,1,85.0,79.99,4.3943256902608985
GG1846O 002 54,Gucci,Mujer,Pasta,Cuadradas,Montura completa,marron,M,54.0,18.0,140.0,220.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.38571428571428573,972.0,0.22633744855967078,126.0,1,0,1,0,390.0,249.9,5.525054453372377
0PR 18WV 1AB1O1 54,Prada,Mujer,Acetato,Cuadradas,Montura completa,negro,M,54.0,17.0,145.0,295.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.3724137931034483,918.0,0.3213507625272331,125.0,1,0,1,0,390.0,239.9,5.484381909620826
TH 2205 D51 19 52,Tommy Hilfiger,Unisex,Eco-friendly,Cuadradas,Montura completa,negro,S,52.0,19.0,145.0,160.0,gama_media,moda_casual,Estados Unidos,80.0,170.0,otro,gama_media,medio,0.3586206896551724,988.0,0.16194331983805668,123.0,1,1,1,1,125.0,113.9,4.74406218485471
Ray-Ban 0RX6489 2501,Ray-Ban,Unisex,Metal,Aviador,Montura completa,plateado,M,52.0,18.0,145.0,100.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,metal,media_alta,medio,0.3586206896551724,936.0,0.10683760683760683,122.0,1,1,0,0,170.0,114.9,4.752727750345706
