modelo,marca,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,peso,gama_marca,segmento_comercial,pais_origen,precio_min,precio_max,categoria_material,gama_material,peso_relativo,aspect_ratio,area_aprox,densidad,ancho_total,montura_completa,es_unisex,color_basico,material_eco,precio_medio_marca,precio,log_precio
Twitch 3.0 NAO32302 46,Nano Vista,Niños,Pasta,Rectangulares,Montura completa,azul,XS,46.0,14.0,136.0,80.0,gama_media,marca_blanca_OEM,España/Italia,40.0,100.0,acetato,media,ligero,0.3382352941176471,644.0,0.12422360248447205,106.0,1,0,0,0,70.0,99.9,4.6141299273595635
2625 200 16 55,Mexx,Hombre,Pasta,Rectangulares,Montura completa,marron,M,55.0,16.0,145.0,160.0,gama_media,moda_casual,Países Bajos,60.0,130.0,acetato,media,ligero,0.3793103448275862,880.0,0.18181818181818182,126.0,1,0,1,0,95.0,129.9,4.874433672915854
GG1708O 002 53,Gucci,Hombre,Metal/Pasta,Cuadradas,Montura completa,marron,L,53.0,17.0,140.0,180.0,lujo,moda_lujo,Italia,260.0,520.0,mezcla,media,medio,0.37857142857142856,901.0,0.1997780244173141,123.0,1,0,1,0,390.0,219.9,5.397710110426072
TH 1917 FLL 18 54,Tommy Hilfiger,Hombre,Metal,Rectangulares,Montura completa,azul,L,54.0,18.0,145.0,160.0,gama_media,moda_casual,Estados Unidos,80.0,170.0,metal,media_alta,medio,0.3724137931034483,972.0,0.1646090534979424,126.0,1,0,0,0,125.0,93.52,4.548811452318707
0RX3767V 3207 52,Ray-Ban,Unisex,Metal,Rectangulares,Montura al aire,rosa,S,52.0,18.0,145.0,165.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,metal,media_alta,medio,0.3586206896551724,936.0,0.1762820512820513,122.0,0,1,0,0,170.0,116.9,4.769836807543325
Mini GG228 MR17 49,Germano Gambini,Unisex,Pasta,Cuadradas,Montura completa,marron,S,49.0,17.0,135.0,155.0,gama_media,marca_blanca_OEM,Italia,60.0,140.0,acetato,media,ligero,0.362962962962963,833.0,0.18607442977190877,115.0,1,1,1,0,100.0,179.9,5.19794439240125
D2 0042 2M2 16 53,Dsquared2,Mujer,Metal/Pasta,Cuadradas,Montura completa,negro,M,53.0,16.0,145.0,165.0,premium,moda_premium,Italia,180.0,330.0,mezcla,media,medio,0.36551724137931035,848.0,0.1945754716981132,122.0,1,0,1,0,255.0,97.53,4.590361070334383
0RX5268 2034 52,Ray-Ban,Unisex,Acetato,Rectangulares,Montura completa,negro,S,52.0,17.0,135.0,150.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,acetato,media,ligero,0.3851851851851852,884.0,0.16968325791855204,121.0,1,1,1,0,170.0,123.9,4.827513417131532
ET33472 508 56,Esprit,Hombre,Pasta,Rectangulares,Montura completa,verde,M,56.0,18.0,145.0,85.0,gama_media,moda_casual,Alemania,70.0,150.0,acetato,media,ligero,0.38620689655172413,1008.0,0.08432539682539683,130.0,1,0,0,0,110.0,95.99,4.574607880405451
0OX8091 809101 53,Oakley,Hombre,Pasta,Rectangulares,Montura completa,negro,M,53.0,17.0,144.0,185.0,gama_media,deportiva,Estados Unidos,100.0,240.0,acetato,media,ligero,0.3680555555555556,901.0,0.20532741398446172,123.0,1,0,1,0,170.0,113.9,4.74406218485471
0RX7056 2000 55,Ray-Ban,Unisex,Pasta,Rectangulares,Montura completa,negro,M,55.0,17.0,145.0,170.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,acetato,media,ligero,0.3793103448275862,935.0,0.18181818181818182,127.0,1,1,1,0,170.0,114.9,4.752727750345706
0679/IT 08A 15 56,Hugo Boss,Hombre,Pasta,Rectangulares,Montura completa,gris,M,56.0,15.0,145.0,115.0,premium,moda_premium,Alemania,140.0,300.0,acetato,media,ligero,0.38620689655172413,840.0,0.13690476190476192,127.0,1,0,0,0,220.0,149.9,5.016617365773803
BB0499O 004 57,Balenciaga,Hombre,Pasta,Rectangulares,Montura completa,gris,M,57.0,17.0,145.0,250.0,lujo,moda_lujo,Francia/España (marca matriz),230.0,500.0,acetato,media,ligero,0.3931034482758621,969.0,0.2579979360165119,131.0,1,0,0,0,365.0,239.9,5.484381909620826
FT6086-B 053 54,Tom Ford,Hombre,Pasta,Aviador,Montura completa,marron,M,54.0,18.0,145.0,315.0,lujo,moda_lujo,Estados Unidos,260.0,520.0,acetato,media,ligero,0.3724137931034483,972.0,0.32407407407407407,126.0,1,0,1,0,390.0,299.9,5.706777983635999
599 3LG 14 54,Marc Jacobs,Mujer,Pasta,Cat Eye,Montura completa,marron,S,54.0,14.0,140.0,160.0,premium,moda_premium,Estados Unidos,120.0,260.0,acetato,media,ligero,0.38571428571428573,756.0,0.21164021164021163,122.0,1,0,1,0,190.0,60.26,4.115127101404629
IN34-C1 42,Indestructible,Niños,Pasta,Redondas,Montura completa,rosa,XXS,42.0,16.0,118.0,75.0,gama_media,marca_blanca_OEM,Italia,40.0,120.0,acetato,media,ligero,0.3559322033898305,672.0,0.11160714285714286,100.0,1,0,0,0,80.0,83.99,4.442533602510535
OV5557U 7003 51,Oliver Peoples,Unisex,Pasta,Redondas,Montura completa,azul,M,51.0,19.0,145.0,245.0,premium,moda_premium,Estados Unidos,180.0,320.0,acetato,media,ligero,0.35172413793103446,969.0,0.2528379772961816,121.0,1,1,0,0,250.0,161.14,5.088460159559561
Prada 0PR 02ZV 2AZ1O1,Prada,Mujer,Acetato,Cuadradas,Montura completa,transparente,M,53.0,18.0,145.0,240.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.36551724137931035,954.0,0.25157232704402516,124.0,1,0,0,0,390.0,149.9,5.016617365773803
Levante C78 56,Sea2See,Unisex,Eco-friendly,Rectangulares,Montura completa,azul,M,56.0,18.0,140.0,120.0,gama_media,marca_blanca_OEM,Noruega,130.0,260.0,otro,gama_media,medio,0.4,1008.0,0.11904761904761904,130.0,1,1,0,1,195.0,159.9,5.080783053998338
0RX5154 2077 49,Ray-Ban,Unisex,Acetato,Cuadradas,Montura completa,negro,M,49.0,21.0,140.0,150.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,acetato,media,ligero,0.35,1029.0,0.1457725947521866,119.0,1,1,1,0,170.0,126.9,4.851248708584797
MM 5116 090 17 52,Max Mara,Mujer,Metal/Pasta,Redondas,Montura completa,negro,M,52.0,17.0,140.0,135.0,premium,moda_premium,Italia,180.0,340.0,mezcla,media,medio,0.37142857142857144,884.0,0.15271493212669685,121.0,1,0,1,0,260.0,96.53,4.580160022983923
0EA3273U 5017 54,Emporio Armani,Mujer,Acetato,Cat Eye,Montura completa,negro,M,54.0,16.0,140.0,115.0,premium,moda_premium,Italia,120.0,260.0,acetato,media,ligero,0.38571428571428573,864.0,0.13310185185185186,124.0,1,0,1,0,190.0,119.9,4.794963757620747
0VO5276 2737 53,Vogue,Mujer,Metal/Pasta,Cat Eye,Montura completa,rojo,M,53.0,17.0,140.0,40.0,gama_media,marca_blanca_OEM,Reino Unido / USA,50.0,120.0,mezcla,media,medio,0.37857142857142856,901.0,0.04439511653718091,123.0,1,0,0,0,85.0,83.99,4.442533602510535
Levante C03 56,Sea2See,Unisex,Eco-friendly,Rectangulares,Montura completa,negro,M,56.0,18.0,140.0,120.0,gama_media,marca_blanca_OEM,Noruega,130.0,260.0,otro,gama_media,medio,0.4,1008.0,0.11904761904761904,130.0,1,1,1,1,195.0,159.9,5.080783053998338
ET33527 543 51,Esprit,Unisex,Pasta,Cuadradas,Montura completa,azul,M,51.0,17.0,140.0,85.0,gama_media,moda_casual,Alemania,70.0,150.0,acetato,media,ligero,0.36428571428571427,867.0,0.09803921568627451,119.0,1,1,0,0,110.0,105.9,4.671893818030999
0AX3138U 8401 54,Armani Exchange,Mujer,Pasta,Cat Eye,Montura completa,rosa,M,54.0,16.0,140.0,80.0,gama_media,moda_premium,Italia,120.0,240.0,acetato,media,ligero,0.38571428571428573,864.0,0.09259259259259259,124.0,1,0,0,0,180.0,69.99,4.262539022051294
0RX5422 5082 52,Ray-Ban,Mujer,Acetato,Rectangulares,Montura completa,marron,S,52.0,16.0,140.0,175.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,acetato,media,ligero,0.37142857142857144,832.0,0.21033653846153846,120.0,1,0,1,0,170.0,114.9,4.752727750345706
