url,marca,modelo,tipo,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,calibre_total,peso,polarizadas,precio
https://www.lentiamo.es/ray-ban-0rx5698-8109-56.html,Ray-Ban,0RX5698 8109 56,graduadas,Unisex,Acetato,Aviador,Montura completa,Marrón,M,56.0,14.0,145.0,133.0,190.0,,112.9
https://www.lentiamo.es/saint-laurent-sl-574-001-52.html,Saint Laurent,SL 574 001 52,graduadas,Unisex,Pasta,Rectangulares,Montura completa,Negro,M,52.0,21.0,145.0,139.0,155.0,,249.9
https://www.lentiamo.es/saint-laurent-sl-m138-001-55.html,Saint Laurent,SL M138 001 55,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Negro,M,55.0,18.0,145.0,138.0,160.0,,249.9
https://www.lentiamo.es/oliver-peoples-o-malley-0ov5183-1003-45.html,Oliver Peoples,0OV5183 1003 45,graduadas,Hombre,Acetato,Redondas,Montura completa,Marrón,S,45.0,22.0,145.0,122.0,230.0,,299.9
https://www.lentiamo.es/tommy-hilfiger-th-2268-c-807-19-51.html,Tommy Hilfiger,TH 2268/C 807 19 51,graduadas,Unisex,Acetato,Cuadradas,Montura completa,Negro,M,51.0,19.0,150.0,133.0,170.0,,149.9
https://www.lentiamo.es/polaroid-pld-2132-cs-003-m9-49.html,Polaroid,PLD 2132/CS 003 M9 49 (sluneční klip),graduadas,Unisex,Eco-friendly - Eco-poliamida,Redondas,Montura completa,Negro,S,49.0,19.0,140.0,125.0,105.0,,79.99
https://www.lentiamo.es/gucci-gg1846o-002-54.html,Gucci,GG1846O 002 54,graduadas,Mujer,Pasta,Cuadradas,Montura completa,Marrón,M,54.0,18.0,140.0,133.0,220.0,,249.9
https://www.lentiamo.es/liquidos-225-500-ml.html,,Soluciones y líquidos de 240 a 380 ml | Lentiamo,graduadas,,,,,,,,,,,,,10.44
https://www.lentiamo.es/prada-0pr-18wv-1ab1o1-54.html,Prada,0PR 18WV 1AB1O1 54,graduadas,Mujer,Acetato,Cuadradas,Montura completa,Negro,M,54.0,17.0,145.0,133.0,295.0,,239.9
https://www.lentiamo.es/tommy-hilfiger-th-2205-d51-19-52.html,Tommy Hilfiger,TH 2205 D51 19 52,graduadas,Unisex,Eco-friendly - Eco-poliamida,Cuadradas,Montura completa,Negro,S,52.0,19.0,145.0,128.0,160.0,,113.9
https://www.lentiamo.es/ray-ban-0rx6489-2501.html,Ray-Ban,Ray-Ban 0RX6489 2501,graduadas,Unisex,Metal,Aviador,Montura completa,Plateado,,,,,,100.0,,114.9
https://www.lentiamo.es/ray-ban-0rx3768v-3201-56.html,Ray-Ban,0RX3768V 3201 56,graduadas,Unisex,Metal,Rectangulares,Montura al aire,Gris,M,56.0,17.0,145.0,131.0,195.0,,115.9
https://www.lentiamo.es/saint-laurent-sl-276-mica-opt-003-53.html,Saint Laurent,SL 276 MICA OPT 003 53,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Negro,M,53.0,16.0,145.0,132.0,175.0,,239.9
https://www.lentiamo.es/oakley-crosslink-zero-ox8076-807603-56.html,Oakley,0OX8076 807603 56,graduadas,Hombre,Pasta,Rectangulares,Montura completa,Negro,M,56.0,16.0,138.0,130.0,185.0,,99.9
https://www.lentiamo.es/ray-ban-aviator-0rx6489-2503.html,Ray-Ban,Ray-Ban Aviator 0RX6489 2503,graduadas,Unisex,Metal,Aviador,Montura completa,Negro,,,,,,165.0,,114.9
https://www.lentiamo.es/polaroid-pld-6139-cs-807-m9-55.html,Polaroid,PLD 6139/CS 807 M9 55,graduadas,Unisex,Pasta,Rectangulares,Montura completa,Negro,M,55.0,16.0,145.0,137.0,90.0,,85.99
https://www.lentiamo.es/leader-spray-limpiador-de-gafas-lentiamo-29-5-ml.html,,"Spray limpiador de gafas Lentiamo 29,5 ml",graduadas,,,,,,,,,,,100.0,,3.99
https://www.lentiamo.es/oliver-peoples-o-malley-0ov5183-1552-47.html,Oliver Peoples,0OV5183 1552 47,graduadas,Hombre,Acetato,Redondas,Montura completa,Marrón,S,47.0,22.0,145.0,127.0,230.0,,299.9
https://www.lentiamo.es/saint-laurent-sl-m48o_b-fn-003-55.html,Saint Laurent,SL M48O_B/FN 003 55,graduadas,Mujer,Pasta,Cuadradas,Montura completa,Marrón,M,55.0,16.0,145.0,140.0,100.0,,279.9
https://www.lentiamo.es/tom-ford-ft5634-b-001-53.html,Tom Ford,FT5634-B 001 53,graduadas,Unisex,Pasta,Cuadradas,Montura completa,Negro,M,53.0,15.0,145.0,138.0,225.0,,239.9
https://www.lentiamo.es/chloe-ch0033o-003-18-51.html,Chloé,CH0033O 003 18 51,graduadas,Mujer,Metal/Pasta,Redondas,Montura completa,Naranja,S,51.0,18.0,140.0,128.0,140.0,,248.9
https://www.lentiamo.es/esprit-et17422-526-51-15.html,Esprit,ET17422 526 51/15,graduadas,Mujer,Pasta,Rectangulares,Montura completa,Azul,S,51.0,15.0,135.0,124.0,40.0,,79.0
https://www.lentiamo.es/ray-ban-0rx5277-2077-54.html,Ray-Ban,0RX5277 2077 54,graduadas,Unisex,Acetato,Rectangulares,Montura completa,Negro,M,54.0,17.0,140.0,130.0,170.0,,114.9
https://www.lentiamo.es/gucci-gg1221o-005-56.html,Gucci,GG1221O 005 56,graduadas,Hombre,Metal,Rectangulares,Montura al aire,Dorado,M,56.0,16.0,140.0,134.0,210.0,,279.9
https://www.lentiamo.es/oakley-hex-jector-ox-8032-02.html,Oakley,Oakley Hex Jector OX 8032 02,graduadas,Hombre,Pasta,Rectangulares,Montura completa,Gris,,,,,,195.0,,99.9
https://www.lentiamo.es/esprit-et17565-543-53.html,Esprit,ET17565 543 53,graduadas,Unisex,Pasta,Rectangulares,Montura completa,Azul,S,53.0,16.0,145.0,128.0,85.0,,85.99
https://www.lentiamo.es/gucci-gg0738o-007-48.html,Gucci,GG0738O 007 48,graduadas,Mujer,Pasta,Redondas,Montura completa,Verde,M,48.0,21.0,150.0,130.0,195.0,,276.9
https://www.lentiamo.es/ray-ban-0rx6489-2500.html,Ray-Ban,Ray-Ban 0RX6489 2500,graduadas,Unisex,Metal,Aviador,Montura completa,Dorado,,,,,,100.0,,114.9
https://www.lentiamo.es/prada-0pr-a51v-1bc1o1-55.html,Prada,0PR A51V 1BC1O1 55,graduadas,Mujer,Metal,Cuadradas,Montura completa,Plateado,M,55.0,19.0,140.0,137.0,265.0,,229.9
https://www.lentiamo.es/gucci-gg0121o-002-49.html,Gucci,GG0121O 002 49,graduadas,Mujer,Pasta,Redondas,Montura completa,Marrón,M,49.0,21.0,145.0,132.0,200.0,,189.9
https://www.lentiamo.es/gucci-gg0093o-001-53.html,Gucci,GG0093O 001 53,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Negro,M,53.0,17.0,140.0,133.0,200.0,,189.9
https://www.lentiamo.es/gucci-gg1817o-001-55.html,Gucci,GG1817O 001 55,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Negro,M,55.0,16.0,140.0,137.0,160.0,,175.9
https://www.lentiamo.es/ray-ban-0rx6375-2890.html,Ray-Ban,Ray-Ban 0RX6375 2890,graduadas,Unisex,Metal,Redondas,Montura completa,Negro,,,,,,100.0,,103.9
https://www.lentiamo.es/solunate-multi-purpose-50.html,,Solunate Multi-Purpose 50 ml con estuche,graduadas,,,,,,,,,,,95.0,,3.89
https://www.lentiamo.es/prada-0pr-09zv-1ab101.html,Prada,Prada 0PR 09ZV 1AB101,graduadas,Mujer,Pasta,Cuadradas,Montura completa,Negro,,,,,,280.0,,199.9
https://www.lentiamo.es/esprit-et17464-538-54-15.html,Esprit,ET17464 538 54/15,graduadas,Unisex,Pasta,Rectangulares,Montura completa,Negro,M,54.0,15.0,140.0,131.0,40.0,,78.9
https://www.lentiamo.es/liquidos-50-120-ml.html,,Soluciones y líquidos de 60 a 120 ml | Lentiamo,graduadas,,,,,,,,,,,,,3.89
https://www.lentiamo.es/oliver-peoples-kinston-0ov1368t-5254-44.html,Oliver Peoples,0OV1368T 5254 44,graduadas,Unisex,Titanio,Redondas,Montura completa,Plateado,S,44.0,23.0,169.0,123.0,205.0,,479.9
https://www.lentiamo.es/balenciaga-bb0275o-006-53.html,Balenciaga,BB0275O 006 53,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Azul,M,53.0,18.0,140.0,130.0,260.0,,269.9
https://www.lentiamo.es/ray-ban-0rx5228-2000.html,Ray-Ban,0RX5228 2000 53,graduadas,Unisex,Pasta,Rectangulares,Montura completa,Negro,M,53.0,17.0,140.0,138.0,155.0,,101.9
https://www.lentiamo.es/esprit-et17422-507-51-15.html,Esprit,ET17422 507 51/15,graduadas,Unisex,Pasta,Rectangulares,Montura completa,Negro,S,51.0,15.0,135.0,124.0,40.0,,78.9
https://www.lentiamo.es/jaguar-33131-6100-17-58.html,Jaguar,33131 6100 17 58,graduadas,Hombre,Metal,Rectangulares,Montura completa,Negro,L,58.0,17.0,145.0,145.0,140.0,,209.9
https://www.lentiamo.es/ray-ban-0rx6355-2503.html,Ray-Ban,Ray-Ban 0RX6355 2503,graduadas,Unisex,Metal,Redondas,Montura completa,Negro,,,,,,145.0,,128.9
https://www.lentiamo.es/miu-miu-0mu-04uv-11t1o1-52.html,Miu Miu,0MU 04UV 11T1O1 52,graduadas,Mujer,Acetato,Cuadradas,Montura completa,Beige,M,52.0,19.0,135.0,132.0,385.0,,259.9
https://www.lentiamo.es/ralph-0ra-7182u-6117-49.html,Ralph,0RA7182U 6117 49,graduadas,Mujer,Acetato,Redondas,Montura completa,Beige,S,49.0,16.0,140.0,121.0,165.0,,79.99
https://www.lentiamo.es/miu-miu-0mu-04uv-2az1o1-52.html,Miu Miu,0MU 04UV 2AZ1O1 52,graduadas,Mujer,Acetato,Cuadradas,Montura completa,Transparente,M,52.0,19.0,135.0,132.0,385.0,,259.9
https://www.lentiamo.es/armani-exchange-0ax3027-8078-55.html,Armani Exchange,0AX3027 8078 55,graduadas,Hombre,Pasta,Rectangulares,Montura completa,Negro,M,55.0,16.0,140.0,138.0,100.0,,69.0
https://www.lentiamo.es/ray-ban-0rx8908-5196.html,Ray-Ban,Ray-Ban 0RX8908 5196,graduadas,Unisex,Nylon,Rectangulares,Montura completa,Negro,,,,,,155.0,,
https://www.lentiamo.es/prada-0pr-14wv-10j1o1-56.html,Prada,0PR 14WV 10J1O1 56,graduadas,Hombre,Acetato,Rectangulares,Montura completa,Gris,M,56.0,18.0,150.0,136.0,245.0,,169.9
https://www.lentiamo.es/oliver-peoples-gregory-peck-0ov5186-1689-50.html,Oliver Peoples,0OV5186 1689 50,graduadas,Unisex,Acetato,Redondas,Montura completa,Marrón,M,50.0,23.0,150.0,134.0,305.0,,249.9
https://www.lentiamo.es/emporio-armani-ea-4115-58011w.html,Emporio Armani,EA 4115 58011W 52,graduadas,Hombre,Pasta,Rectangulares,Montura completa,Negro,S,52.0,18.0,145.0,130.0,200.0,,134.9
https://www.lentiamo.es/esprit-et17464-543-54-15.html,Esprit,ET17464 543 54/15,graduadas,Mujer,Pasta,Rectangulares,Montura completa,Negro,M,54.0,15.0,140.0,131.0,40.0,,88.99
https://www.lentiamo.es/gucci-gg1302o-006-55.html,Gucci,GG1302O 006 55,graduadas,Mujer,Pasta,Cuadradas,Montura completa,Marrón,M,55.0,15.0,145.0,135.0,200.0,,244.9
https://www.lentiamo.es/polaroid-pld-6137-cs-807-m9-52.html,Polaroid,PLD 6137/CS 807 M9 52,graduadas,Unisex,Pasta,Redondas,Montura completa,Negro,M,52.0,18.0,145.0,132.0,90.0,,89.99
https://www.lentiamo.es/gucci-gg0550o-006-53.html,Gucci,GG0550O 006 53,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Marrón,M,53.0,16.0,140.0,132.0,190.0,,228.9
https://www.lentiamo.es/ray-ban-eagleeye-0rx5598-2012-49.html,Ray-Ban,0RX5598 2012 49,graduadas,Unisex,Pasta,Cuadradas,Montura completa,Marrón,M,49.0,21.0,145.0,131.0,175.0,,119.9
https://www.lentiamo.es/active-spring-17352n-42.html,Centrostyle S.p.A,17352N 42,graduadas,Niños,Pasta,Rectangulares,Montura completa,Rosa,XS,42.0,14.0,125.0,106.0,85.0,,76.99
https://www.lentiamo.es/prada-0pr-09yv-21b1o1-54.html,Prada,0PR 09YV 21B1O1 54,graduadas,Mujer,Acetato,Rectangulares,Montura completa,Negro,S,54.0,18.0,140.0,129.0,270.0,,214.9
https://www.lentiamo.es/saint-laurent-sl-815-romy-opt-003-56.html,Saint Laurent,SL 815 ROMY OPT 003 56,graduadas,Mujer,Pasta,Rectangulares,Montura completa,Negro,M,56.0,20.0,145.0,139.0,215.0,,269.9
https://www.lentiamo.es/saint-laurent-sl-815-romy-opt-004-56.html,Saint Laurent,SL 815 ROMY OPT 004 56,graduadas,Mujer,Pasta,Rectangulares,Montura completa,Marrón,M,56.0,20.0,145.0,139.0,215.0,,269.9
https://www.lentiamo.es/ray-ban-0rx7159-2000.html,Ray-Ban,Ray-Ban 0RX7159 2000,graduadas,Unisex,Propionato,Cuadradas,Montura completa,Negro,,,,,,175.0,,119.9
https://www.lentiamo.es/gucci-gg2099o-001-54.html,Gucci,GG2099O 001 54,graduadas,Mujer,Metal,Rectangulares,Montura al aire,Plateado,M,54.0,20.0,145.0,136.0,145.0,,299.9
https://www.lentiamo.es/persol-greta-0po3329v-1103-54.html,Persol,0PO3329V 1103 54,graduadas,Unisex,Acetato,Cuadradas,Montura completa,Gris,M,54.0,18.0,145.0,134.0,255.0,,209.9
https://www.lentiamo.es/nano-vista-gaikai-3-0-nao30505-sc-47.html,Nano Vista,Nano Vista Gaikai 3.0 NAO30505 SC (clip solar),graduadas,Niños,Pasta,Rectangulares,Montura completa,Azul,,,,,,80.0,,89.99
https://www.lentiamo.es/esprit-et17447n-508-53.html,Esprit,ET17447N 508 53,graduadas,Unisex,Pasta,Rectangulares,Montura completa,Azul,S,53.0,16.0,145.0,127.0,85.0,,79.99
https://www.lentiamo.es/saint-laurent-sl-822-opt-001-52.html,Saint Laurent,SL 822 OPT 001 52,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Negro,S,52.0,18.0,145.0,129.0,105.0,,239.9
https://www.lentiamo.es/armani-exchange-0ax1064-6003-56.html,Armani Exchange,0AX1064 6003 56,graduadas,Hombre,Metal,Rectangulares,Montura al aire,Negro,M,56.0,17.0,145.0,132.0,80.0,,82.99
https://www.lentiamo.es/ray-ban-0rx7047-5196.html,Ray-Ban,0RX7047 5196 56,graduadas,Unisex,Pasta,Rectangulares,Montura completa,Negro,L,56.0,17.0,145.0,141.0,160.0,,96.99
https://www.lentiamo.es/nano-vista-sprite-sc-3-0-nao30610-46.html,Nano Vista,Sprite SC 3.0 NAO30610 46,graduadas,Niños,Pasta,Redondas,Montura completa,Azul,XS,46.0,14.0,132.0,108.0,80.0,,83.9
https://www.lentiamo.es/gucci-gg1928o-001-53.html,Gucci,GG1928O 001 53,graduadas,Hombre,Metal/Pasta,Rectangulares,Montura completa,Negro,M,53.0,19.0,145.0,137.0,205.0,,199.9
https://www.lentiamo.es/prada-0pr-18wv-29d1o1.html,Prada,0PR 18WV 29D1O1 52,graduadas,Mujer,Acetato,Cuadradas,Montura completa,Rosa,S,52.0,17.0,145.0,129.0,280.0,,219.9
https://www.lentiamo.es/oakley-pitchman-r-ox8105-810526-50.html,Oakley,OX8105 810526 50,graduadas,Hombre,Metal/Pasta,Redondas,Montura completa,Gris,M,50.0,19.0,140.0,140.0,190.0,,139.9
https://www.lentiamo.es/nano-vista-fangame-3-0-nao30311-52.html,Nano Vista,Fangame 3.0 NAO30311 52,graduadas,Niños,Pasta,Rectangulares,Montura completa,Azul,S,52.0,15.0,133.0,121.0,70.0,,83.9
https://www.lentiamo.es/armani-exchange-0ax1034-6103-52.html,Armani Exchange,0AX1034 6103 52,graduadas,Mujer,Metal,Cat Eye,Montura completa,Rosa,M,52.0,16.0,140.0,132.0,100.0,,79.0
https://www.lentiamo.es/oliver-peoples-errisson-0ov5562u-1753-51.html,Oliver Peoples,0OV5562U 1753 51,graduadas,Unisex,Pasta,Cuadradas,Montura completa,Marrón,M,51.0,18.0,145.0,140.0,195.0,,279.9
https://www.lentiamo.es/tom-ford-ft6025-b-096-50.html,Tom Ford,FT6025-B 096 50,graduadas,Unisex,Pasta,Cuadradas,Montura completa,Verde,M,50.0,22.0,145.0,135.0,330.0,,229.9
https://www.lentiamo.es/nano-vista-quest-sc-3-0-nao31608.html,Nano Vista,Quest SC 3.0 NAO31608 48,graduadas,Niños,Pasta,Cuadradas,Montura completa,Negro,XS,48.0,14.0,133.0,110.0,70.0,,93.99
https://www.lentiamo.es/gucci-gg1847o-001-53.html,Gucci,GG1847O 001 53,graduadas,Mujer,Pasta,Rectangulares,Montura completa,Negro,M,53.0,18.0,140.0,132.0,190.0,,259.9
https://www.lentiamo.es/gucci-gg0093o-002-53.html,Gucci,GG0093O 002 53,graduadas,Mujer,Pasta,Cat Eye,Montura completa,Marrón,M,53.0,17.0,140.0,133.0,200.0,,189.9
https://www.lentiamo.es/vogue-0vo5603-2990-52.html,Vogue,0VO5603 2990 52,graduadas,Mujer,Nylon,Cat Eye,Montura completa,Marrón,S,52.0,16.0,140.0,126.0,95.0,,69.99
https://www.lentiamo.es/miu-miu-0mu-05xv-1ab1o1-54.html,Miu Miu,0MU 05XV 1AB1O1 54,graduadas,Mujer,Acetato,Cuadradas,Montura completa,Negro,M,54.0,19.0,140.0,140.0,325.0,,184.9
