url,marca,modelo,tipo,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,calibre_total,peso,polarizadas,valoracion,num_resenas,precio
https://www.lentiamo.es/dolce-gabbana-0dg-2242-02-13-57.html,Dolce & Gabbana,0DG2242 02/13 57,sol,Mujer,Metal,Cuadradas,,Dorado,M,,16.0,140.0,136.0,185.0,False,,,197.9
https://www.lentiamo.es/versace-0ve2284-100287-63.html,Versace,0VE2284 100287 63,sol,Hombre,Metal,Cuadradas,,Dorado,L,,10.0,140.0,143.0,460.0,False,,,209.9
https://www.lentiamo.es/marc-jacobs-mj-1002-s-807-9o-55.html,Marc Jacobs,MJ 1002/S 807 9O 55,sol,Mujer,Pasta,Cuadradas,,Negro,M,,16.0,140.0,137.0,155.0,False,,,244.9
https://www.lentiamo.es/liu-jo-lj749s-290-53.html,Liu Jo,LJ749S 290 53,sol,Mujer,Pasta,Cuadradas,,MarrÃ³n,M,,18.0,140.0,134.0,75.0,False,,,107.9
https://www.lentiamo.es/marc-jacobs-mj-1012-s-086-gb-52.html,Marc Jacobs,MJ 1012/S 086 GB 52,sol,Mujer,Pasta,Cuadradas,,MarrÃ³n,M,,21.0,140.0,135.0,155.0,False,,,152.9
https://www.lentiamo.es/max-mara-lee2-mm-0067-s-01a-50.html,Max Mara,MM0067/S 01A 50,sol,Mujer,Pasta,Cuadradas,,Negro,M,,22.0,140.0,137.0,160.0,False,,,143.9
https://www.lentiamo.es/marc-jacobs-marc-739-s-08a-9o-54.html,Marc Jacobs,Marc 739/S 08A 9O 54,sol,Mujer,Pasta,Cuadradas,,Negro,M,,19.0,145.0,136.0,200.0,False,,,132.9
https://www.lentiamo.es/marc-jacobs-marc-693-s-08a-9o-55.html,Marc Jacobs,Marc 693/S 08A 9O 55,sol,Mujer,Pasta,Rectangulares,,Negro,M,,17.0,145.0,135.0,200.0,False,,,132.9
https://www.lentiamo.es/dsquared2-icon-0006-s-80s-9o-53.html,Dsquared2,Icon 0006/S 80S 9O 53,sol,Mujer,Pasta,Cat Eye,,Negro,S,,16.0,145.0,129.0,95.0,False,,,99.9
https://www.lentiamo.es/marc-jacobs-marc-646-s-807-ir-57.html,Marc Jacobs,Marc 646/S 807 IR 57,sol,Mujer,Pasta,Cuadradas,,Negro,M,,16.0,145.0,137.0,210.0,False,,,132.9
https://www.lentiamo.es/karl-lagerfeld-kl6122s-015-52.html,Karl Lagerfeld,KL6122S 015 52,sol,Mujer,Pasta,Cat Eye,,Negro,M,,22.0,140.0,137.0,75.0,False,,,69.9
https://www.lentiamo.es/marc-jacobs-mj-1001-s-807-9o-51.html,Marc Jacobs,MJ 1001/S 807 9O 51,sol,Mujer,Pasta,Cat Eye,,Negro,M,,21.0,140.0,136.0,155.0,False,,,217.9
https://www.lentiamo.es/guess-gu7913-33w-59.html,Guess,GU7913/S 33W 59,sol,Mujer,Metal/Pasta,Cuadradas,,Dorado,M,,17.0,140.0,135.0,115.0,False,,,81.99
https://www.lentiamo.es/david-beckham-db-7048-s-kj1-ir-56.html,David Beckham,DB 7048/S KJ1 IR 56,sol,Hombre,Metal,Rectangulares,,Gris,M,,18.0,140.0,138.0,175.0,False,,,139.9
https://www.lentiamo.es/lacoste-l962s-001-60.html,Lacoste,L962S 001 60,sol,Mujer,Pasta,Cuadradas,,Negro,M,,17.0,135.0,140.0,210.0,False,,,124.9
https://www.lentiamo.es/marc-jacobs-marc-764-s-807-9o-57.html,Marc Jacobs,764/S 807 9O 57,sol,Mujer,Pasta,Cuadradas,,Negro,M,,17.0,145.0,139.0,245.0,False,,,153.9
https://www.lentiamo.es/oakley-jawbreaker-oo-9290-55-31.html,Oakley,OO 9290 929055 31,sol,Hombre,Pasta,Rectangulares,,Blanco,M,,16.0,121.0,135.0,180.0,False,,,199.9
