Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Grupo de edad	Sexo	periodo	Total
Total Nacional	Andalucía	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	69,9
Total Nacional	Andalucía	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	83,9
Total Nacional	Andalucía	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	78,8
Total Nacional	Andalucía	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	114,0
Total Nacional	Andalucía	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	141,2
Total Nacional	Andalucía	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	136,2
Total Nacional	Andalucía	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	82,1
Total Nacional	Andalucía	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	77,9
Total Nacional	Andalucía	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	90,4
Total Nacional	Andalucía	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	101,3
Total Nacional	Andalucía	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	93,9
Total Nacional	Andalucía	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	107,8
Total Nacional	Andalucía	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	1,3
Total Nacional	Andalucía	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	3,1
Total Nacional	Andalucía	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	2,1
Total Nacional	Andalucía	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	33,8
Total Nacional	Andalucía	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	36,7
Total Nacional	Andalucía	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	29,4
Total Nacional	Andalucía	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	190,7
Total Nacional	Andalucía	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	190,4
Total Nacional	Andalucía	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	191,6
Total Nacional	Andalucía	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	129,2
Total Nacional	Andalucía	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	125,7
Total Nacional	Andalucía	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	139,0
Total Nacional	Andalucía	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	58,9
Total Nacional	Andalucía	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	64,6
Total Nacional	Andalucía	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	63,5
Total Nacional	Andalucía	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	51,8
Total Nacional	Andalucía	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	38,8
Total Nacional	Andalucía	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	35,7
Total Nacional	Andalucía	Personas que viven solas	25-34 años	Hombre	2020	49,9
Total Nacional	Andalucía	Personas que viven solas	25-34 años	Hombre	2019	52,5
Total Nacional	Andalucía	Personas que viven solas	25-34 años	Hombre	2018	54,7
Total Nacional	Andalucía	Personas que viven solas	25-34 años	Mujer	2020	31,0
Total Nacional	Andalucía	Personas que viven solas	25-34 años	Mujer	2019	33,3
Total Nacional	Andalucía	Personas que viven solas	25-34 años	Mujer	2018	28,1
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	26,2
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	19,3
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	16,1
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	12,6
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	9,7
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	13,7
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	18,6
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	11,7
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	12,0
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	12,7
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	14,3
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	11,5
Total Nacional	Aragón	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	10,0
Total Nacional	Aragón	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	14,1
Total Nacional	Aragón	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	12,3
Total Nacional	Aragón	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	15,3
Total Nacional	Aragón	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	20,2
Total Nacional	Aragón	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	24,0
Total Nacional	Aragón	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	12,6
Total Nacional	Aragón	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	12,2
Total Nacional	Aragón	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	13,0
Total Nacional	Aragón	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	20,7
Total Nacional	Aragón	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	17,0
Total Nacional	Aragón	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	14,9
Total Nacional	Aragón	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	..
Total Nacional	Aragón	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	0,1
Total Nacional	Aragón	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	..
Total Nacional	Aragón	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	2,0
Total Nacional	Aragón	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	2,0
Total Nacional	Aragón	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	2,3
Total Nacional	Aragón	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	22,8
Total Nacional	Aragón	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	24,3
Total Nacional	Aragón	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	25,7
Total Nacional	Aragón	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	15,8
Total Nacional	Aragón	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	18,0
Total Nacional	Aragón	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	15,7
Total Nacional	Aragón	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	11,2
Total Nacional	Aragón	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	7,2
Total Nacional	Aragón	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	8,8
Total Nacional	Aragón	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	6,2
Total Nacional	Aragón	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	3,9
Total Nacional	Aragón	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	3,8
Total Nacional	Aragón	Personas que viven solas	25-34 años	Hombre	2020	5,9
Total Nacional	Aragón	Personas que viven solas	25-34 años	Hombre	2019	7,0
Total Nacional	Aragón	Personas que viven solas	25-34 años	Hombre	2018	6,4
Total Nacional	Aragón	Personas que viven solas	25-34 años	Mujer	2020	4,4
Total Nacional	Aragón	Personas que viven solas	25-34 años	Mujer	2019	5,5
Total Nacional	Aragón	Personas que viven solas	25-34 años	Mujer	2018	3,9
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	4,4
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	3,2
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	1,3
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2020	1,8
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2019	0,9
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Mujer	2018	1,5
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2020	2,0
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2019	1,1
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Hombre	2018	1,7
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2020	2,4
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2019	1,3
Total Nacional	Aragón	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	25-34 años	Mujer	2018	2,5
Total Nacional	Asturias, Principado de	Personas que conviven con su cónyuge	25-34 años	Hombre	2020	7,2
Total Nacional	Asturias, Principado de	Personas que conviven con su cónyuge	25-34 años	Hombre	2019	5,7
Total Nacional	Asturias, Principado de	Personas que conviven con su cónyuge	25-34 años	Hombre	2018	9,5
Total Nacional	Asturias, Principado de	Personas que conviven con su cónyuge	25-34 años	Mujer	2020	9,8
Total Nacional	Asturias, Principado de	Personas que conviven con su cónyuge	25-34 años	Mujer	2019	9,9
Total Nacional	Asturias, Principado de	Personas que conviven con su cónyuge	25-34 años	Mujer	2018	12,6
Total Nacional	Asturias, Principado de	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2020	8,5
Total Nacional	Asturias, Principado de	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2019	7,5
Total Nacional	Asturias, Principado de	Personas que son parte de una pareja de hecho	25-34 años	Hombre	2018	5,6
Total Nacional	Asturias, Principado de	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2020	12,4
Total Nacional	Asturias, Principado de	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2019	8,3
Total Nacional	Asturias, Principado de	Personas que son parte de una pareja de hecho	25-34 años	Mujer	2018	6,8
Total Nacional	Asturias, Principado de	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2020	..
Total Nacional	Asturias, Principado de	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2019	..
Total Nacional	Asturias, Principado de	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Hombre	2018	..
Total Nacional	Asturias, Principado de	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2020	4,6
Total Nacional	Asturias, Principado de	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2019	1,8
Total Nacional	Asturias, Principado de	Personas que no conviven en pareja pero forman núcleo con algún hijo	25-34 años	Mujer	2018	2,9
Total Nacional	Asturias, Principado de	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2020	15,1
Total Nacional	Asturias, Principado de	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2019	15,1
Total Nacional	Asturias, Principado de	Hijos/Hijas no del padre o madre solos	25-34 años	Hombre	2018	15,0
Total Nacional	Asturias, Principado de	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2020	8,8
Total Nacional	Asturias, Principado de	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2019	13,1
Total Nacional	Asturias, Principado de	Hijos/Hijas no del padre o madre solos	25-34 años	Mujer	2018	12,5
Total Nacional	Asturias, Principado de	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2020	6,5
Total Nacional	Asturias, Principado de	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2019	7,0
Total Nacional	Asturias, Principado de	Hijos/Hijas del padre o madre solos	25-34 años	Hombre	2018	6,7
Total Nacional	Asturias, Principado de	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2020	3,1
Total Nacional	Asturias, Principado de	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2019	4,2
Total Nacional	Asturias, Principado de	Hijos/Hijas del padre o madre solos	25-34 años	Mujer	2018	4,3
Total Nacional	Asturias, Principado de	Personas que viven solas	25-34 años	Hombre	2020	4,7
Total Nacional	Asturias, Principado de	Personas que viven solas	25-34 años	Hombre	2019	9,3
Total Nacional	Asturias, Principado de	Personas que viven solas	25-34 años	Hombre	2018	8,2
Total Nacional	Asturias, Principado de	Personas que viven solas	25-34 años	Mujer	2020	4,5
Total Nacional	Asturias, Principado de	Personas que viven solas	25-34 años	Mujer	2019	5,4
Total Nacional	Asturias, Principado de	Personas que viven solas	25-34 años	Mujer	2018	5,8
Total Nacional	Asturias, Principado de	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2020	2,0
Total Nacional	Asturias, Principado de	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2019	1,6
Total Nacional	Asturias, Principado de	Personas que no viven en un núcleo familiar pero viven con otros parientes	25-34 años	Hombre	2018	2,5
