Total Nacional	Comunidades y Ciudades Autónomas	Situación en el hogar	Sexo	Grupo de edad	periodo	Total
Total Nacional	Andalucía	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	183,9
Total Nacional	Andalucía	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	225,1
Total Nacional	Andalucía	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	214,9
Total Nacional	Andalucía	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	183,4
Total Nacional	Andalucía	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2019	171,8
Total Nacional	Andalucía	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2018	198,2
Total Nacional	Andalucía	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2020	35,0
Total Nacional	Andalucía	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2019	39,9
Total Nacional	Andalucía	Personas que no conviven en pareja pero forman núcleo con algún hijo	Ambos sexos	25-34 años	2018	31,6
Total Nacional	Andalucía	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2020	319,9
Total Nacional	Andalucía	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2019	316,1
Total Nacional	Andalucía	Hijos/Hijas no del padre o madre solos	Ambos sexos	25-34 años	2018	330,7
Total Nacional	Andalucía	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2020	110,6
Total Nacional	Andalucía	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2019	103,3
Total Nacional	Andalucía	Hijos/Hijas del padre o madre solos	Ambos sexos	25-34 años	2018	99,2
Total Nacional	Andalucía	Personas que viven solas	Ambos sexos	25-34 años	2020	80,9
Total Nacional	Andalucía	Personas que viven solas	Ambos sexos	25-34 años	2019	85,8
Total Nacional	Andalucía	Personas que viven solas	Ambos sexos	25-34 años	2018	82,8
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2020	38,9
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2019	29,0
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros parientes	Ambos sexos	25-34 años	2018	29,8
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2020	31,3
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2019	26,0
Total Nacional	Andalucía	Personas que no viven en un núcleo familiar pero viven con otros personas que no son parientes	Ambos sexos	25-34 años	2018	23,6
Total Nacional	Aragón	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2020	25,3
Total Nacional	Aragón	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2019	34,3
Total Nacional	Aragón	Personas que conviven con su cónyuge	Ambos sexos	25-34 años	2018	36,4
Total Nacional	Aragón	Personas que son parte de una pareja de hecho	Ambos sexos	25-34 años	2020	33,3
